Id,MSSubClass,MSZoning,LotArea,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,ExterQual,ExterCond,Foundation,BsmtFinSF2,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,PoolArea,YrSold,SaleType,SaleCondition,SalePrice,Bathrooms,PorchSF
1,60,RL,8450,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,856,854,3,1,0,2,0,2008,WD,Normal,208500,3,61
2,20,RL,9600,AllPub,FR2,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,TA,TA,CBlock,0,Ex,Y,1262,0,3,1,1,2,0,2007,WD,Normal,181500,2,0
3,60,RL,11250,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,920,866,3,1,1,2,0,2008,WD,Normal,223500,3,42
4,70,RL,9550,AllPub,Corner,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,TA,TA,BrkTil,0,Gd,Y,961,756,3,1,1,3,0,2006,WD,Abnorml,140000,1,307
5,60,RL,14260,AllPub,FR2,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1145,1053,4,1,1,3,0,2008,WD,Normal,250000,3,84
6,50,RL,14115,AllPub,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,TA,TA,Wood,0,Ex,Y,796,566,1,1,0,2,0,2009,WD,Normal,143000,2,30
7,20,RL,10084,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1694,0,3,1,1,2,0,2007,WD,Normal,307000,2,57
8,60,RL,10382,AllPub,Corner,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,TA,TA,CBlock,32,Ex,Y,1107,983,3,1,2,2,0,2009,WD,Normal,200000,3,432
9,50,RM,6120,AllPub,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,TA,TA,BrkTil,0,Gd,Y,1022,752,2,2,2,2,0,2008,WD,Abnorml,129900,2,205
10,190,RL,7420,AllPub,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,TA,TA,BrkTil,0,Ex,Y,1077,0,2,2,2,1,0,2008,WD,Normal,118000,1,4
11,20,RL,11200,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,TA,TA,CBlock,0,Ex,Y,1040,0,3,1,0,1,0,2008,WD,Normal,129500,1,0
12,60,RL,11924,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Ex,TA,PConc,0,Ex,Y,1182,1142,4,1,2,3,0,2006,New,Partial,345000,3,21
13,20,RL,12968,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,TA,TA,CBlock,0,TA,Y,912,0,2,1,0,1,0,2008,WD,Normal,144000,1,0
14,20,RL,10652,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1494,0,3,1,1,3,0,2007,New,Partial,279500,2,33
15,20,RL,10920,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,TA,TA,CBlock,0,TA,Y,1253,0,2,1,1,1,0,2008,WD,Normal,157000,2,389
16,45,RM,6120,AllPub,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,TA,TA,BrkTil,0,Ex,Y,854,0,2,1,0,2,0,2007,WD,Normal,132000,1,112
17,20,RL,11241,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,TA,TA,CBlock,0,Ex,Y,1004,0,2,1,1,2,0,2010,WD,Normal,149000,1,0
18,90,RL,10791,AllPub,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,TA,TA,Slab,0,TA,Y,1296,0,2,2,0,2,0,2006,WD,Normal,90000,2,0
19,20,RL,13695,AllPub,Inside,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,TA,TA,PConc,0,Ex,Y,1114,0,3,1,0,2,0,2008,WD,Normal,159000,2,102
20,20,RL,7560,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,TA,TA,CBlock,0,TA,Y,1339,0,3,1,0,1,0,2009,COD,Abnorml,139000,1,0
21,60,RL,14215,AllPub,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1158,1218,4,1,1,3,0,2006,New,Partial,325300,4,154
22,45,RM,7449,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,TA,TA,PConc,0,Ex,Y,1108,0,3,1,1,1,0,2007,WD,Normal,139400,1,205
23,20,RL,9742,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,Gd,TA,PConc,0,Ex,Y,1795,0,3,1,1,2,0,2008,WD,Normal,230000,2,159
24,120,RM,4224,AllPub,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,TA,TA,PConc,0,TA,Y,1060,0,3,1,1,2,0,2007,WD,Normal,129900,1,110
25,20,RL,8246,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,TA,Gd,CBlock,668,Ex,Y,1060,0,3,1,1,1,0,2010,WD,Normal,154000,1,90
26,20,RL,14230,AllPub,Corner,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1600,0,3,1,1,3,0,2009,WD,Normal,256300,2,56
27,20,RL,7200,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,TA,TA,CBlock,486,TA,Y,900,0,3,1,0,2,0,2010,WD,Normal,134800,1,32
28,20,RL,11478,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1704,0,3,1,1,3,0,2010,WD,Normal,306000,2,50
29,20,RL,16321,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,TA,TA,CBlock,0,TA,Y,1600,0,2,1,2,1,0,2006,WD,Normal,207500,1,258
30,30,RM,6324,AllPub,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,TA,TA,BrkTil,0,Fa,N,520,0,1,1,0,1,0,2008,WD,Normal,68500,1,87
31,70,C (all),8500,AllPub,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,TA,Fa,BrkTil,0,TA,N,649,668,3,1,0,1,0,2008,WD,Normal,40000,1,226
32,20,RL,8544,AllPub,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,TA,TA,CBlock,0,Gd,Y,1228,0,3,1,0,1,0,2008,WD,Normal,149350,2,65
33,20,RL,11049,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1234,0,3,1,0,2,0,2008,WD,Normal,179900,2,30
34,20,RL,10552,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,TA,TA,CBlock,0,Gd,Y,1700,0,4,1,1,2,0,2010,WD,Normal,165500,2,38
35,120,RL,7313,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,Ex,TA,PConc,0,Ex,Y,1561,0,2,1,1,2,0,2007,WD,Normal,277500,2,47
36,60,RL,13418,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1132,1320,4,1,1,3,0,2006,WD,Normal,309000,4,32
37,20,RL,10859,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,TA,TA,PConc,0,Ex,Y,1097,0,3,1,0,2,0,2009,WD,Normal,145000,2,64
38,20,RL,8532,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,TA,TA,CBlock,0,Gd,Y,1297,0,3,1,1,2,0,2009,WD,Normal,153000,1,0
39,20,RL,7922,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,TA,Gd,CBlock,0,TA,Y,1057,0,3,1,0,1,0,2010,WD,Abnorml,109000,1,52
40,90,RL,6040,AllPub,Inside,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,TA,TA,PConc,0,TA,N,1152,0,2,2,0,0,0,2008,WD,AdjLand,82000,2,0
41,20,RL,8658,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,TA,TA,CBlock,0,Ex,Y,1324,0,3,1,1,2,0,2006,WD,Abnorml,160000,2,138
42,20,RL,16905,AllPub,Inside,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,TA,Gd,CBlock,0,Gd,Y,1328,0,2,1,2,1,0,2007,WD,Normal,170000,2,104
43,85,RL,9180,AllPub,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,TA,TA,CBlock,93,Gd,Y,884,0,2,1,0,2,0,2007,WD,Normal,144000,1,0
44,20,RL,9200,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,TA,TA,CBlock,491,TA,Y,938,0,3,1,0,1,0,2008,WD,Normal,130250,1,0
45,20,RL,7945,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,TA,TA,CBlock,506,Ex,Y,1150,0,3,1,0,1,0,2006,WD,Normal,141000,1,0
46,120,RL,7658,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,Ex,TA,PConc,0,Ex,Y,1752,0,2,1,1,2,0,2010,WD,Normal,319900,2,82
47,50,RL,12822,AllPub,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1518,631,1,1,1,2,0,2009,WD,Abnorml,239686,2,43
48,20,FV,11096,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1656,0,3,1,0,3,0,2007,WD,Normal,249700,2,146
49,190,RM,4456,AllPub,Inside,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,TA,TA,BrkTil,0,Gd,Y,736,716,2,3,0,0,0,2009,New,Partial,113000,2,102
